date,shift,machineName,sizeCode,startTime,endTime,scheduleQuantity,remarks,runTime,changeOverStartTime,changeOverEndTime,availableMoulds,runningMoulds,roundsPerMould,curingPotential,ctb,gtInventory,coverage,curingScheduleQuantity,description,machineId,createdAt,createdBy
2026-04-16,C,4801,1225219Z15008SXC11,2026-04-16 23:00:00,2026-04-17 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-17,A,4801,1225219Z15008SXC11,2026-04-17 07:00:00,2026-04-17 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-17,B,4801,1225219Z15008SXC11,2026-04-17 15:00:00,2026-04-17 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-17,C,4801,1225219Z15008SXC11,2026-04-17 23:00:00,2026-04-18 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-18,A,4801,1225219Z15008SXC11,2026-04-18 07:00:00,2026-04-18 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-18,B,4801,1225219Z15008SXC11,2026-04-18 15:00:00,2026-04-18 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-18,C,4801,1225219Z15008SXC11,2026-04-18 23:00:00,2026-04-19 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-19,A,4801,1225219Z15008SXC11,2026-04-19 07:00:00,2026-04-19 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-19,B,4801,1225219Z15008SXC11,2026-04-19 15:00:00,2026-04-19 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-19,C,4801,1225219Z15008SXC11,2026-04-19 23:00:00,2026-04-20 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-20,A,4801,1225219Z15008SXC11,2026-04-20 07:00:00,2026-04-20 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-20,B,4801,1225219Z15008SXC11,2026-04-20 15:00:00,2026-04-20 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-20,C,4801,1225219Z15008SXC11,2026-04-20 23:00:00,2026-04-21 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-21,A,4801,1225219Z15008SXC11,2026-04-21 07:00:00,2026-04-21 10:03:00,45,Post-Cleaning Resume,183,,,0,2,59,45,0,0,,45,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-01,A,4803,1225219Z15008SXC11,2026-04-01 07:00:00,2026-04-01 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-01,B,4803,1225219Z15008SXC11,2026-04-01 15:00:00,2026-04-01 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-01,C,4803,1225219Z15008SXC11,2026-04-01 23:00:00,2026-04-02 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,A,4803,1225219Z15008SXC11,2026-04-02 07:00:00,2026-04-02 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,B,4803,1225219Z15008SXC11,2026-04-02 15:00:00,2026-04-02 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,C,4803,1225219Z15008SXC11,2026-04-02 23:00:00,2026-04-03 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-03,A,4803,1225219Z15008SXC11,2026-04-03 07:00:00,2026-04-03 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-03,B,4803,1225219Z15008SXC11,2026-04-03 15:00:00,2026-04-03 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
