product_code,line_class,build_cycle_sec,source
1325224716111SELS0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325225516109HENX0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325226616111TRHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325226616111TBHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325226716114TRHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325226716114TBHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325227616114TRHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325227616114TBHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325214617107MSXT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325221217095VUX10,PCR,72.08,GTCT TBR PCR 1.xlsx
1325221317098VUX10,PCR,63.6,GTCT TBR PCR 1.xlsx
1325221417096HRHT0,PCR,63.6,GTCT TBR PCR 1.xlsx
1325221417096HURL0,PCR,61.48,GTCT TBR PCR 1.xlsx
1325222117094YUXL0,PCR,63.6,GTCT TBR PCR 1.xlsx
1325222217094VUX10,PCR,63.6,GTCT TBR PCR 1.xlsx
1325222217098VUX10,PCR,63.6,GTCT TBR PCR 1.xlsx
1325222317101VUX10,PCR,72.08,GTCT TBR PCR 1.xlsx
1325222417099HURL0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325222517102HRHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325222517102HBHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223317099VUX10,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223317103VUX10,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HRHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HENX0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HETRE,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HRHP0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HRHT1,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HBHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325223517104HETR0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325224117099VUX10,PCR,72.08,GTCT TBR PCR 1.xlsx
1325224117099WLEVY,PCR,72.08,GTCT TBR PCR 1.xlsx
1325226517112HRHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325226517112HBHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325226517112HRHT1,PCR,72.08,GTCT TBR PCR 1.xlsx
1325226617118QRMT0,PCR,78.44,GTCT TBR PCR 1.xlsx
1325226617121LRMTZ,PCR,78.44,GTCT TBR PCR 1.xlsx
1325226617115TRHT0,PCR,72.08,GTCT TBR PCR 1.xlsx
1325221318095HURL0,PCR,65.72,GTCT TBR PCR 1.xlsx
1325222418104HUX10,PCR,74.2,GTCT TBR PCR 1.xlsx
1325223118098VUX10,PCR,74.2,GTCT TBR PCR 1.xlsx
1325223418103VETR0,PCR,74.2,GTCT TBR PCR 1.xlsx
1325223518106HETR0,PCR,74.2,GTCT TBR PCR 1.xlsx
